Transaction_id,Product_id,Client_id,Transaction_time,
75,6,5,9/13/2024,
76,7,54,6/1/2024,
77,2,76,7/10/2024,
78,6,12,10/29/2024,
79,1,88,6/9/2024,
80,7,60,3/28/2024,
81,4,37,4/26/2023,
82,4,24,3/6/2024,
83,4,18,7/10/2023,
84,8,27,5/27/2023,
85,5,48,1/31/2023,
86,5,32,11/2/2023,
87,1,12,1/12/2024,
88,8,11,1/3/2024,
89,5,58,3/30/2024,
90,7,80,10/16/2023,
91,5,54,2/5/2023,
92,6,21,3/2/2024,
93,8,10,9/23/2023,
94,3,79,8/15/2023,
95,2,16,1/3/2024,
96,2,33,8/10/2023,
97,1,40,12/4/2023,
98,3,79,10/10/2023,
99,6,75,2/22/2023,
100,3,17,10/15/2023,
101,6,31,9/25/2024,
102,7,94,6/14/2024,
103,5,15,4/12/2023,
104,5,48,3/18/2024,
105,8,42,8/27/2023,
106,3,70,11/20/2024,
107,5,30,8/25/2023,
108,7,81,1/25/2023,
109,3,88,3/3/2023,
110,1,79,4/1/2023,
111,2,28,3/18/2023,
112,2,79,1/31/2024,
113,2,27,5/11/2023,
114,6,93,6/5/2024,
115,7,76,12/30/2023,
116,4,91,3/2/2024,
117,6,13,11/8/2023,
118,6,47,5/22/2024,
119,1,53,11/30/2024,
120,4,51,10/7/2024,
121,1,69,9/20/2024,
122,4,64,1/4/2023,
123,5,64,10/29/2023,
124,4,81,3/26/2024,
125,1,76,11/21/2024,
126,3,17,9/27/2024,
127,3,42,8/23/2024,
128,6,55,9/13/2024,
129,6,44,3/20/2024,
130,7,5,1/27/2023,
131,1,55,9/5/2024,
132,8,38,7/17/2024,
133,6,64,5/25/2024,
134,2,87,6/4/2024,
135,6,64,1/7/2024,
136,2,74,6/29/2024,
137,5,87,12/22/2023,
138,5,77,8/26/2023,
139,4,52,10/11/2024,
140,2,35,3/14/2024,
141,6,72,9/11/2023,
142,7,61,7/8/2024,
143,5,2,10/29/2024,
144,5,10,11/22/2024,
145,6,20,10/12/2023,
146,6,66,10/20/2023,
147,7,45,6/19/2024,
148,1,91,3/22/2024,
149,5,85,8/17/2024,
150,1,75,12/11/2023,
151,4,42,6/7/2024,
152,8,69,1/18/2024,
153,5,84,6/20/2024,
154,1,28,11/19/2023,
155,3,24,1/11/2023,
156,3,12,2/1/2024,
157,1,97,10/22/2023,
158,6,64,4/22/2024,
159,3,76,6/18/2024,
160,7,28,10/26/2023,
161,2,86,6/23/2024,
162,5,73,11/21/2023,
163,4,65,3/21/2024,
164,5,58,5/4/2023,
165,7,76,3/24/2023,
166,5,47,9/2/2023,
167,7,98,8/21/2023,
168,3,52,6/10/2024,
169,4,35,1/24/2023,
170,4,100,5/25/2024,
171,2,73,11/27/2024,
172,6,40,2/20/2023,
173,1,13,11/30/2024,
174,4,30,2/26/2023,
175,7,73,2/18/2024,
176,2,64,11/22/2024,
177,5,20,5/14/2024,
178,5,98,6/7/2024,
179,7,77,3/3/2024,
180,2,76,9/26/2024,
181,4,86,2/1/2023,
182,4,87,12/20/2023,
183,4,53,6/4/2024,
184,7,48,7/28/2023,
185,2,28,10/20/2024,
186,6,97,3/27/2023,
187,3,80,9/22/2023,
188,6,13,12/6/2023,
189,5,64,12/18/2023,
190,8,54,9/21/2024,
191,5,31,5/12/2023,
192,5,88,10/19/2023,
193,1,100,4/28/2024,
194,3,93,7/22/2023,
195,4,64,12/29/2023,
196,4,32,4/12/2024,
197,4,96,4/1/2023,
198,3,90,8/25/2023,
199,5,20,4/8/2024,
200,1,72,12/22/2023,
201,7,69,6/23/2023,
202,6,35,2/20/2023,
203,3,35,5/18/2023,
204,1,56,10/9/2023,
205,6,16,11/2/2024,
206,1,7,3/29/2024,
207,6,84,7/12/2023,
208,7,46,6/29/2024,
209,1,37,6/16/2023,
210,3,38,7/19/2024,
211,4,91,6/19/2024,
212,4,61,4/26/2023,
213,7,86,10/24/2024,
214,7,87,3/30/2024,
215,3,50,10/28/2024,
216,6,30,1/31/2023,
217,2,4,12/5/2023,
218,2,52,1/12/2023,
219,5,67,1/17/2023,
220,7,24,1/31/2024,
221,6,89,11/17/2024,
222,2,88,4/27/2023,
223,4,51,4/29/2023,
224,6,28,2/22/2023,
225,1,31,12/16/2023,
226,2,24,1/23/2023,
227,3,56,1/2/2023,
228,6,30,2/6/2024,
229,7,73,1/5/2023,
230,6,12,8/18/2024,
231,7,80,11/19/2023,
232,5,41,9/3/2023,
233,6,41,11/23/2024,
234,2,60,3/28/2023,
235,6,80,7/5/2024,
236,5,30,10/25/2024,
237,8,41,3/19/2024,
238,2,52,2/7/2024,
239,5,69,9/25/2024,
240,7,34,11/18/2024,
241,7,24,6/24/2023,
242,2,74,11/7/2023,
243,6,15,12/29/2023,
244,3,46,7/16/2024,
245,3,4,12/19/2023,
246,3,63,6/8/2023,
247,3,52,7/12/2024,
248,2,67,9/7/2023,
249,7,69,1/15/2023,
250,2,21,5/28/2024,
251,3,22,10/18/2024,
252,7,56,5/3/2023,
253,4,96,10/5/2024,
254,1,88,6/18/2023,
255,1,11,9/28/2024,
256,2,3,11/1/2023,
257,6,34,10/13/2024,
258,1,5,8/8/2024,
259,5,65,8/24/2023,
260,5,54,3/17/2023,
261,6,57,8/9/2023,
262,5,39,3/29/2024,
263,3,5,6/15/2024,
264,6,30,4/24/2024,
265,7,44,7/20/2023,
266,8,3,12/26/2023,
267,2,78,8/23/2024,
268,3,28,2/6/2024,
269,8,12,3/15/2023,
270,2,30,8/5/2023,
271,2,29,1/27/2023,
272,5,25,7/17/2023,
273,5,94,8/6/2024,
274,3,46,2/19/2024,
275,1,93,10/10/2023,
276,2,59,8/26/2023,
277,8,74,10/26/2023,
278,6,31,6/29/2024,
279,7,22,4/4/2024,
280,7,25,9/30/2024,
281,4,43,1/19/2023,
282,6,73,8/10/2023,
283,6,51,8/16/2024,
284,3,49,9/20/2024,
285,2,81,2/11/2023,
286,5,94,1/18/2024,
287,4,62,2/20/2024,
288,4,63,2/25/2024,
289,3,74,1/23/2024,
290,6,19,3/19/2023,
291,4,89,6/2/2024,
292,5,61,11/16/2023,
293,5,84,9/6/2023,
294,3,15,9/12/2023,
295,2,69,2/23/2024,
296,6,14,3/25/2024,
297,2,80,3/24/2023,
298,5,60,11/25/2024,
299,6,76,8/13/2024,
300,3,2,1/6/2024,
301,5,45,6/15/2024,
302,7,62,5/16/2024,
303,6,7,9/2/2023,
304,3,29,7/6/2023,
305,2,66,4/24/2023,
306,3,96,10/4/2023,
307,7,36,7/5/2024,
308,4,57,8/20/2023,
309,4,7,10/21/2024,
310,3,53,1/25/2023,
311,4,74,12/3/2023,
312,7,37,11/17/2024,
313,2,79,1/8/2024,
314,7,77,10/30/2023,
315,7,20,9/1/2024,
316,8,77,2/28/2023,
317,4,4,5/14/2023,
318,5,22,9/4/2023,
319,4,39,5/26/2024,
320,2,56,6/3/2024,
321,3,56,7/17/2023,
322,5,42,6/15/2023,
323,2,50,9/15/2024,
324,3,89,4/2/2023,
325,4,45,2/19/2024,
326,8,9,12/25/2023,
327,5,20,8/24/2023,
328,5,49,2/24/2024,
329,6,91,2/11/2024,
330,2,45,4/22/2024,
331,1,85,8/12/2023,
332,1,64,6/16/2023,
333,3,60,12/18/2023,
334,8,12,6/3/2024,
335,7,5,7/25/2023,
336,2,2,12/7/2023,
337,2,79,5/30/2024,
338,4,27,10/26/2024,
339,6,26,10/15/2024,
340,2,70,5/9/2024,
341,8,43,10/11/2023,
342,6,97,3/25/2023,
343,3,96,9/4/2024,
344,7,64,6/3/2023,
345,2,58,3/28/2024,
346,7,26,9/15/2024,
347,6,72,7/20/2023,
348,4,68,9/19/2023,
349,7,39,6/24/2023,
350,2,75,8/30/2023,
351,4,59,6/30/2023,
352,5,85,9/19/2023,
353,4,2,8/17/2024,
354,6,10,9/8/2023,
355,3,36,11/23/2024,
356,2,68,9/18/2023,
357,2,85,7/7/2024,
358,7,17,5/4/2023,
359,6,3,2/20/2023,
360,5,54,6/29/2023,
361,5,14,9/12/2024,
362,6,42,2/17/2023,
363,8,16,8/31/2024,
364,7,31,6/10/2023,
365,5,72,7/27/2023,
366,1,42,8/3/2023,
367,8,1,1/15/2024,
368,7,94,6/24/2024,
369,5,51,5/27/2024,
370,3,13,8/4/2024,
371,5,72,3/2/2024,
372,2,23,3/1/2023,
373,3,60,10/13/2023,
374,5,37,4/21/2023,
375,1,79,1/31/2023,
376,1,52,1/27/2023,
377,7,32,3/15/2023,
378,2,49,9/30/2024,
379,2,65,12/8/2023,
380,1,26,7/20/2024,
381,8,56,10/3/2023,
382,2,46,7/14/2023,
383,3,22,8/12/2024,
384,4,69,3/16/2024,
385,7,41,4/23/2024,
386,6,37,6/9/2023,
387,7,12,5/19/2023,
388,5,29,8/20/2024,
389,6,3,9/17/2023,
390,4,85,1/18/2024,
391,2,32,3/16/2024,
392,6,42,9/24/2023,
393,2,12,11/21/2023,
394,7,97,8/12/2023,
395,2,70,1/26/2024,
396,7,25,7/27/2023,
397,8,88,12/8/2023,
398,7,81,8/13/2024,
399,7,28,4/6/2024,
400,3,8,5/3/2023,
401,4,76,9/18/2023,
402,3,1,1/17/2023,
403,3,27,4/8/2024,
404,3,100,11/5/2024,
405,2,43,10/9/2024,
406,4,89,1/3/2023,
407,6,89,4/15/2023,
408,2,34,6/9/2024,
409,3,74,10/10/2023,
410,6,64,12/1/2024,
411,5,53,5/2/2023,
412,3,67,7/11/2024,
413,5,50,6/2/2024,
414,3,17,7/27/2023,
415,8,46,3/11/2024,
416,7,36,7/25/2024,
417,6,73,5/19/2023,
418,6,66,10/15/2023,
419,5,27,5/5/2024,
420,2,98,11/1/2023,
421,7,58,9/29/2024,
422,6,67,10/11/2023,
423,6,86,2/22/2023,
424,2,30,9/13/2023,
425,7,62,2/14/2023,
426,3,46,6/27/2023,
427,2,26,10/7/2023,
428,8,58,2/1/2024,
429,2,75,4/9/2023,
430,7,33,12/17/2023,
431,3,49,1/8/2024,
432,3,3,9/18/2024,
433,8,11,9/27/2023,
434,3,13,7/19/2024,
435,5,45,11/13/2024,
436,7,9,4/1/2023,
437,7,47,9/27/2023,
438,3,78,6/6/2024,
439,8,93,2/12/2023,
440,1,16,6/13/2024,
441,7,67,12/12/2023,
442,4,5,10/31/2024,
443,3,51,9/19/2023,
444,2,1,11/14/2024,
445,5,51,9/1/2023,
446,4,98,4/27/2023,
447,4,53,2/5/2024,
448,4,48,1/6/2024,
449,5,10,11/27/2023,
450,5,79,1/9/2024,
451,2,99,8/13/2024,
452,6,96,9/15/2024,
453,7,24,2/12/2023,
454,7,57,5/10/2024,
455,3,44,9/14/2023,
456,7,74,9/30/2024,
457,4,65,4/18/2023,
458,2,11,7/19/2024,
459,1,44,9/9/2024,
460,1,35,4/27/2023,
461,4,52,11/9/2024,
462,4,75,6/20/2024,
463,2,72,6/15/2024,
464,5,56,8/20/2024,
465,3,58,6/30/2023,
466,6,86,11/29/2024,
467,4,12,3/18/2023,
468,6,11,5/25/2023,
469,4,33,9/9/2023,
470,3,74,11/6/2023,
471,7,26,6/30/2024,
472,2,30,7/18/2023,
473,3,59,1/22/2023,
474,6,44,1/22/2023,
475,6,71,9/11/2024,
476,1,15,6/23/2024,
477,6,94,7/28/2024,
478,5,51,10/15/2023,
479,7,61,4/7/2024,
480,3,19,7/19/2024,
481,5,48,4/11/2023,
482,2,38,4/26/2023,
483,7,20,3/14/2024,
484,2,6,4/3/2023,
485,8,76,7/3/2024,
486,6,87,5/16/2024,
487,5,56,7/6/2023,
488,7,14,1/12/2023,
489,5,63,11/27/2024,
490,4,98,6/15/2024,
491,3,34,12/22/2023,
492,8,74,7/15/2024,
493,5,92,11/10/2024,
494,2,24,8/29/2024,
495,6,30,10/23/2023,
496,6,25,8/2/2023,
497,4,8,5/19/2023,
498,8,44,5/8/2023,
499,8,78,2/10/2024,
500,5,89,3/13/2023,
